Model,Lambda,Epochs,Averaged AUC Difference,Averaged Balanced Accuracy Difference,Average Balanced Accuracy Ratio,Averaged Disparate Impact Ratio,Average Equal Odds Difference,Average Equal Odds Ratio,Average Positive Predictive Parity Difference,Average Positive Predictive Parity Ratio,Average Statistical Parity Difference
tabfairgan,50,0.2,-0.02144,-0.02159,0.98085,1.05628,0.03625,1.19318,-0.05709,0.89645,0.03006
tabfairgan,50,0.4,0.05449,0.05539,1.12081,0.91778,-0.10163,0.84146,0.06525,1.1245,-0.04755
tabfairgan,50,0.6,-0.01411,-0.01411,0.97548,0.97826,-0.02126,0.974,-0.05782,0.90492,-0.0148
tabfairgan,50,0.8,-0.01586,-0.01586,0.96834,1.07272,0.0693,1.16798,-0.02722,0.94722,0.03715
tabfairgan,50,1.0,-0.04135,-0.04135,0.91448,0.95749,-0.01475,0.96003,-0.13669,0.77496,-0.02069
tabfairgan,50,1.5,-0.02732,-0.03068,0.94636,0.89614,-0.11171,0.82692,-0.07013,0.89276,-0.06505
tabfairgan,50,2.0,-0.06385,-0.04692,0.90482,0.82861,-0.12541,0.78737,0.02159,1.03914,-0.09802
tabfairgan,50,5.0,0.0744,0.0744,1.16163,0.97445,-0.07805,0.96237,0.07308,1.13863,-0.02216
tabfairgan,100,0.2,-0.03707,-0.03664,0.93678,0.94195,-0.04663,0.99136,-0.03936,0.96653,-0.03913
tabfairgan,100,0.4,0.03656,0.03483,1.06944,0.83157,-0.0837,0.74184,-0.06429,0.91504,-0.09997
tabfairgan,100,0.6,-0.05101,-0.05214,0.91978,0.84409,-0.0863,0.90025,-0.10419,0.8629,-0.09436
tabfairgan,100,0.8,-0.01352,-0.01352,0.98079,0.95134,-0.01772,1.00723,-0.07836,0.88477,-0.03876
tabfairgan,100,1.0,-0.00216,0.00023,1.00938,1.04311,0.05163,1.12722,-0.03459,0.9548,0.01693
tabfairgan,100,1.5,-0.02462,-0.02462,0.96348,0.89476,-0.09823,0.95759,-0.0614,0.91402,-0.06212
tabfairgan,100,2.0,-0.0195,-0.0204,0.96878,0.87359,-0.11331,0.82657,-0.07847,0.88111,-0.07655
tabfairgan,100,5.0,-0.03027,-0.0321,0.94291,0.91533,-0.05972,0.9769,-0.1051,0.83799,-0.0599
tabfairgan,150,0.2,-0.0241,-0.02344,0.97051,0.68803,-0.2153,0.73342,-0.21076,0.71113,-0.19612
tabfairgan,150,0.4,-0.05096,-0.05157,0.93174,0.7935,-0.14881,0.81344,-0.21533,0.70802,-0.13265
tabfairgan,150,0.6,-0.05983,-0.05983,0.91419,0.71817,-0.24417,0.762,-0.18668,0.75014,-0.17928
tabfairgan,150,0.8,0.00506,0.00506,1.01267,0.72869,-0.18779,0.71851,-0.17078,0.76858,-0.17866
tabfairgan,150,1.0,0.03516,0.03407,1.065,0.85398,-0.12764,0.74661,-0.11058,0.85,-0.09923
tabfairgan,150,1.5,-0.06444,-0.06444,0.90555,0.78044,-0.15549,0.86803,-0.20967,0.70696,-0.14661
tabfairgan,150,2.0,-0.02854,-0.02854,0.95503,0.72399,-0.20258,0.63929,-0.11447,0.83246,-0.15688
tabfairgan,150,5.0,-0.08261,-0.08261,0.87342,0.71013,-0.18056,0.75356,-0.19368,0.74286,-0.18746
tabfairgan,200,0.2,-0.03587,-0.03587,0.95191,0.52027,-0.2053,0.64793,-0.2696,0.65981,-0.31062
tabfairgan,200,0.4,-0.02456,-0.02456,0.96861,0.44193,-0.32086,0.3999,-0.24033,0.69495,-0.35387
tabfairgan,200,0.6,-0.16283,-0.07052,0.90074,0.48578,-0.36249,0.48722,-0.42271,0.47671,-0.32783
tabfairgan,200,0.8,0.01162,0.01162,1.01312,0.42933,-0.31892,0.41457,-0.28254,0.62324,-0.35707
tabfairgan,200,1.0,-0.0595,-0.05916,0.90899,0.3964,-0.39932,0.32779,-0.29406,0.61009,-0.38968
tabfairgan,200,1.5,-0.07213,-0.07213,0.90009,0.45428,-0.35649,0.45942,-0.31887,0.59328,-0.35225
tabfairgan,200,2.0,-0.00454,-0.00454,1.00056,0.48736,-0.25933,0.51011,-0.22284,0.72122,-0.33211
tabfairgan,200,5.0,-5e-05,-5e-05,1.00597,0.4093,-0.28953,0.44449,-0.27098,0.65534,-0.37843
tabfairgan,250,0.2,-0.01521,-0.01521,0.98025,0.44058,-0.17259,0.60194,-0.35876,0.57731,-0.36103
