Model,Epochs,Lambda,Proportion positive numerical tests,Proportion positive categorical tests,Proportion distances below threshold,Proportion positive numerical correlations,Proportion positive categorical correlations,Average DLA,Proportion positive numerical tests 2,Proportion positive categorical tests 2,Proportion distances below threshold 2,Proportion positive numerical correlations 2,Proportion positive categorical correlations 2,Average DLA 2,Proportion positive numerical tests 3,Proportion positive categorical tests 3,Proportion distances below threshold 3,Proportion positive numerical correlations 3,Proportion positive categorical correlations 3,Average DLA 3,URA Score,MRA Score,DLA Score,Overall Score
tabfairgan,50,0.2,0.1,0.028571429,0.953333333,0.46,0.281,0.786307,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,0.4,0.193333333,0.057142857,0.96,0.43,0.349,0.7922725,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,0.6,0.146666667,0.014285714,0.946666667,0.51,0.329,0.788526,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,0.8,0.193333333,0.042857143,0.953333333,0.42,0.273,0.7725545,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,1.0,0.22,0.057142857,0.966666667,0.43,0.328,0.7769445,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,1.5,0.22,0.014285714,0.966666667,0.38,0.324,0.7861385,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,50,2.0,0.133333333,0.042857143,0.973333333,0.44,0.286,0.773009,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,50,5.0,0.193333333,0.071428571,0.98,0.37,0.276,0.7783865,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,100,0.2,0.16,0.0,0.92,0.44,0.372,0.7924825,Good,Poor,Excellent,Good,Poor,Good,2,1,3,2,1,2,1.98,1.5,2,1.792
tabfairgan,100,0.4,0.253333333,0.057142857,0.92,0.37,0.367,0.774667,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,100,0.6,0.213333333,0.028571429,0.933333333,0.33,0.39,0.775193,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,100,0.8,0.246666667,0.057142857,0.946666667,0.35,0.35,0.780383,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,100,1.0,0.206666667,0.071428571,0.906666667,0.4,0.263,0.791282,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,100,1.5,0.206666667,0.042857143,0.933333333,0.38,0.362,0.784557,Good,Good,Excellent,Poor,Poor,Good,2,2,3,1,1,2,2.31,1.0,2,1.724
tabfairgan,100,2.0,0.253333333,0.028571429,0.913333333,0.44,0.316,0.7856955,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,100,5.0,0.213333333,0.114285714,0.926666667,0.43,0.334,0.785673,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,150,0.2,0.213333333,0.042857143,0.94,0.39,0.524,0.7879535,Good,Good,Excellent,Poor,Good,Good,2,2,3,1,2,2,2.31,1.5,2,1.924
tabfairgan,150,0.4,0.233333333,0.042857143,0.926666667,0.4,0.38,0.7840455,Good,Good,Excellent,Good,Poor,Good,2,2,3,2,1,2,2.31,1.5,2,1.924
tabfairgan,150,0.6,0.206666667,0.028571429,0.94,0.41,0.524,0.7707745,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,150,0.8,0.253333333,0.071428571,0.94,0.47,0.448,0.7784365,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,150,1.0,0.273333333,0.071428571,0.933333333,0.44,0.443,0.764516,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,150,1.5,0.2,0.042857143,0.926666667,0.38,0.48,0.77067,Good,Good,Excellent,Poor,Good,Good,2,2,3,1,2,2,2.31,1.5,2,1.924
tabfairgan,150,2.0,0.206666667,0.057142857,0.92,0.45,0.504,0.7800655,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,150,5.0,0.246666667,0.042857143,0.933333333,0.51,0.428,0.78179,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,200,0.2,0.333333333,0.028571429,0.96,0.49,0.624,0.7367895,Good,Good,Excellent,Good,Excellent,Good,2,2,3,2,3,2,2.31,2.5,2,2.324
tabfairgan,200,0.4,0.313333333,0.1,0.946666667,0.47,0.49,0.7303855,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,200,0.6,0.273333333,0.028571429,0.933333333,0.5,0.533,0.746449,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,200,0.8,0.28,0.085714286,0.946666667,0.44,0.501,0.738899,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
