Model	Epochs	Lambda	Numerical tests	Categorical tests	Distances 	Numerical correlations 	Categorical correlations	Average Precision	Average Recall 	Average Accuracy 	Average F1
tabfairgan	50	0.2	0.090909091	0.025974026	0.866666667	0.418181818	0.255454545	0.716501818	0.714638182	0.714774545	0.713383636
tabfairgan	50	0.4	0.175757576	0.051948052	0.872727273	0.390909091	0.317272727	0.721421818	0.720012727	0.720207273	0.719349091
tabfairgan	50	0.6	0.133333333	0.012987013	0.860606061	0.463636364	0.299090909	0.71868	0.716485455	0.716652727	0.715549091
tabfairgan	50	0.8	0.175757576	0.038961039	0.866666667	0.381818182	0.248181818	0.704001818	0.702003636	0.702174545	0.701109091
tabfairgan	50	1	0.2	0.051948052	0.878787879	0.390909091	0.298181818	0.708209091	0.706016364	0.706274545	0.704752727
tabfairgan	50	1.5	0.2	0.012987013	0.878787879	0.345454545	0.294545455	0.716732727	0.714296364	0.714625455	0.713030909
tabfairgan	50	2	0.121212121	0.038961039	0.884848485	0.4	0.26	0.704752727	0.702507273	0.702716364	0.700965455
tabfairgan	50	5	0.175757576	0.064935065	0.890909091	0.336363636	0.250909091	0.709230909	0.707425455	0.707605455	0.706234545
tabfairgan	100	0.2	0.145454545	0	0.836363636	0.4	0.338181818	0.724016364	0.719667273	0.719474545	0.718596364
tabfairgan	100	0.4	0.23030303	0.051948052	0.836363636	0.336363636	0.333636364	0.708156364	0.703463636	0.70336	0.701990909
tabfairgan	100	0.6	0.193939394	0.025974026	0.848484848	0.3	0.354545455	0.708152727	0.704094545	0.703907273	0.702729091
tabfairgan	100	0.8	0.224242424	0.051948052	0.860606061	0.318181818	0.318181818	0.712625455	0.708794545	0.708745455	0.707590909
tabfairgan	100	1	0.187878788	0.064935065	0.824242424	0.363636364	0.239090909	0.722001818	0.719074545	0.718974545	0.717338182
tabfairgan	100	1.5	0.187878788	0.038961039	0.848484848	0.345454545	0.329090909	0.716096364	0.712634545	0.712449091	0.711754545
tabfairgan	100	2	0.23030303	0.025974026	0.83030303	0.4	0.287272727	0.717005455	0.713792727	0.713683636	0.712592727
tabfairgan	100	5	0.193939394	0.103896104	0.842424242	0.390909091	0.303636364	0.718078182	0.713430909	0.713387273	0.712096364
tabfairgan	150	0.2	0.193939394	0.038961039	0.854545455	0.354545455	0.476363636	0.721152727	0.715585455	0.71526	0.713287273
tabfairgan	150	0.4	0.212121212	0.038961039	0.842424242	0.363636364	0.345454545	0.716927273	0.711949091	0.711705455	0.710492727
tabfairgan	150	0.6	0.187878788	0.025974026	0.854545455	0.372727273	0.476363636	0.705443636	0.699690909	0.699361818	0.69832
tabfairgan	150	0.8	0.23030303	0.064935065	0.854545455	0.427272727	0.407272727	0.712081818	0.70676	0.706570909	0.705265455
tabfairgan	150	1	0.248484848	0.064935065	0.848484848	0.4	0.402727273	0.699118182	0.694209091	0.694063636	0.692667273
tabfairgan	150	1.5	0.181818182	0.038961039	0.842424242	0.345454545	0.436363636	0.705270909	0.6997	0.699409091	0.698056364
tabfairgan	150	2	0.187878788	0.051948052	0.836363636	0.409090909	0.458181818	0.713447273	0.708187273	0.70806	0.706907273
tabfairgan	150	5	0.224242424	0.038961039	0.848484848	0.463636364	0.389090909	0.714949091	0.709874545	0.709685455	0.708363636
tabfairgan	200	0.2	0.303030303	0.025974026	0.872727273	0.445454545	0.567272727	0.673585455	0.669263636	0.669270909	0.667114545
tabfairgan	200	0.4	0.284848485	0.090909091	0.860606061	0.427272727	0.445454545	0.667356364	0.663501818	0.663238182	0.661850909
tabfairgan	200	0.6	0.248484848	0.025974026	0.848484848	0.454545455	0.484545455	0.681425455	0.678365455	0.678318182	0.676250909
tabfairgan	200	0.8	0.254545455	0.077922078	0.860606061	0.4	0.455454545	0.675212727	0.67108	0.670807273	0.669805455
tabfairgan	200	1	0.315151515	0.012987013	0.866666667	0.518181818	0.514545455	0.684856364	0.681183636	0.681130909	0.67952
tabfairgan	200	1.5	0.236363636	0.025974026	0.848484848	0.490909091	0.476363636	0.673350909	0.66902	0.668829091	0.667350909
tabfairgan	200	2	0.254545455	0.025974026	0.872727273	0.427272727	0.537272727	0.671954545	0.667250909	0.6671	0.664950909
tabfairgan	200	5	0.327272727	0.077922078	0.854545455	0.409090909	0.480909091	0.683769091	0.679509091	0.679205455	0.678170909
tabfairgan	250	0.2	0.333333333	0.038961039	0.872727273	0.372727273	0.562727273	0.659018182	0.656296364	0.656276364	0.654667273
tabfairgan	250	0.4	0.351515152	0.038961039	0.878787879	0.590909091	0.51	0.651143636	0.648912727	0.648910909	0.64728
tabfairgan	250	0.6	0.296969697	0.051948052	0.866666667	0.454545455	0.530909091	0.666481818	0.663067273	0.662841818	0.66128
tabfairgan	250	0.8	0.333333333	0.051948052	0.866666667	0.390909091	0.536363636	0.663429091	0.659498182	0.65934	0.657554545
tabfairgan	250	1	0.339393939	0.025974026	0.866666667	0.536363636	0.519090909	0.664581818	0.662674545	0.662650909	0.66134
tabfairgan	250	1.5	0.333333333	0.064935065	0.860606061	0.363636364	0.552727273	0.672516364	0.668832727	0.668870909	0.667121818
tabfairgan	250	2	0.303030303	0.064935065	0.872727273	0.509090909	0.52	0.650429091	0.648501818	0.648325455	0.6473
tabfairgan	250	5	0.321212121	0.038961039	0.884848485	0.418181818	0.514545455	0.662414545	0.660085455	0.660083636	0.658507273
tabfairgan	300	0.2	0.321212121	0.012987013	0.872727273	0.454545455	0.630909091	0.666189091	0.663109091	0.662998182	0.661165455
tabfairgan	300	0.4	0.357575758	0.038961039	0.872727273	0.427272727	0.645454545	0.657229091	0.655001818	0.655090909	0.653221818
tabfairgan	300	0.6	0.327272727	0.051948052	0.860606061	0.481818182	0.658181818	0.662029091	0.658396364	0.658107273	0.656621818
tabfairgan	300	0.8	0.296969697	0.025974026	0.860606061	0.463636364	0.631818182	0.667392727	0.663683636	0.663741818	0.661007273
tabfairgan	300	1	0.290909091	0.051948052	0.872727273	0.372727273	0.613636364	0.67022	0.667349091	0.667441818	0.665829091
tabfairgan	300	1.5	0.351515152	0.051948052	0.878787879	0.381818182	0.622727273	0.657032727	0.654778182	0.654741818	0.65338
tabfairgan	300	2	0.393939394	0.025974026	0.878787879	0.409090909	0.57	0.649209091	0.646945455	0.646983636	0.645305455
tabfairgan	300	5	0.309090909	0.012987013	0.866666667	0.472727273	0.566363636	0.661685455	0.658663636	0.658843636	0.656852727
distcorrgan	50	0.2	0.127272727	0.025974026	0.872727273	0.345454545	0.282727273	0.722372727	0.718558182	0.718969091	0.71502
distcorrgan	50	0.4	0.145454545	0.051948052	0.890909091	0.472727273	0.308181818	0.737014545	0.734354545	0.734734545	0.732878182
distcorrgan	50	0.6	0.193939394	0.025974026	0.890909091	0.354545455	0.224545455	0.730032727	0.726083636	0.726683636	0.722149091
distcorrgan	50	0.8	0.145454545	0.038961039	0.890909091	0.418181818	0.320909091	0.765618182	0.762103636	0.762458182	0.759758182
distcorrgan	50	1	0.145454545	0.012987013	0.896969697	0.354545455	0.294545455	0.749849091	0.747183636	0.747487273	0.746049091
distcorrgan	50	1.5	0.145454545	0.012987013	0.878787879	0.390909091	0.260909091	0.738770909	0.735594545	0.73592	0.733174545
distcorrgan	50	2	0.175757576	0.012987013	0.884848485	0.381818182	0.248181818	0.737089091	0.733947273	0.73444	0.730767273
distcorrgan	50	5	0.16969697	0.051948052	0.896969697	0.4	0.324545455	0.74722	0.742510909	0.743036364	0.739349091
distcorrgan	100	0.2	0.315151515	0.051948052	0.903030303	0.327272727	0.272727273	0.697836364	0.696203636	0.696590909	0.693810909
distcorrgan	100	0.4	0.363636364	0.038961039	0.878787879	0.336363636	0.27	0.706401818	0.704630909	0.705092727	0.702261818
distcorrgan	100	0.6	0.345454545	0.064935065	0.896969697	0.345454545	0.281818182	0.716214545	0.712261818	0.712741818	0.708743636
distcorrgan	100	0.8	0.303030303	0.038961039	0.890909091	0.318181818	0.24	0.710230909	0.708043636	0.708589091	0.705274545
