Model,Epochs,Lambda,Precision 1,Recall 1,Accuracy 1,F1 1,Precision 2,Recall 2,Accuracy 2,F 1 2
tabfairgan,50,0.2,0.265711667,0.265551667,0.297375,0.276256667,0.580948333,0.560588333,0.514585,0.558343333
tabfairgan,50,0.4,0.289511667,0.287048333,0.313143333,0.30259,0.557148333,0.539091667,0.498816667,0.53201
tabfairgan,50,0.6,0.283103333,0.265863333,0.302996667,0.281775,0.563556667,0.560276667,0.508963333,0.552825
tabfairgan,50,0.8,0.284505,0.31555,0.31667,0.30964,0.562155,0.51059,0.49529,0.52496
tabfairgan,50,1.0,0.271196667,0.287513333,0.302806667,0.293511667,0.575463333,0.538626667,0.509153333,0.541088333
tabfairgan,50,1.5,0.276135,0.283305,0.310778333,0.291693333,0.570525,0.542835,0.501181667,0.542906667
tabfairgan,50,2.0,0.282856667,0.243588333,0.305346667,0.268933333,0.563803333,0.582551667,0.506613333,0.565666667
tabfairgan,50,5.0,0.271665,0.285798333,0.301636667,0.289256667,0.574995,0.540341667,0.510323333,0.545343333
tabfairgan,100,0.2,0.244796667,0.22178,0.26214,0.243601667,0.601863333,0.60436,0.54982,0.590998333
tabfairgan,100,0.4,0.250696667,0.235803333,0.263051667,0.247743333,0.595963333,0.590336667,0.548908333,0.586856667
tabfairgan,100,0.6,0.235815,0.220685,0.256525,0.23707,0.610845,0.605455,0.555435,0.59753
tabfairgan,100,0.8,0.235626667,0.239695,0.264403333,0.25467,0.611033333,0.586445,0.547556667,0.57993
tabfairgan,100,1.0,0.260683333,0.257446667,0.28171,0.268235,0.585976667,0.568693333,0.53025,0.566365
tabfairgan,100,1.5,0.251008333,0.203248333,0.270928333,0.235778333,0.595651667,0.622891667,0.541031667,0.598821667
tabfairgan,100,2.0,0.239398333,0.237046667,0.262678333,0.249993333,0.607261667,0.589093333,0.549281667,0.584606667
tabfairgan,100,5.0,0.233193333,0.242035,0.264766667,0.250245,0.613466667,0.584105,0.547193333,0.584355
tabfairgan,150,0.2,0.16688,0.17349,0.181796667,0.17785,0.67978,0.65265,0.630163333,0.65675
tabfairgan,150,0.4,0.207091667,0.213213333,0.220653333,0.217406667,0.639568333,0.612926667,0.591306667,0.617193333
tabfairgan,150,0.6,0.154815,0.206515,0.190221667,0.199771667,0.691845,0.619625,0.621738333,0.634828333
tabfairgan,150,0.8,0.202211667,0.189845,0.206611667,0.201805,0.644448333,0.636295,0.605348333,0.632795
tabfairgan,150,1.0,0.18038,0.190156667,0.197465,0.19385,0.66628,0.635983333,0.614495,0.64075
tabfairgan,150,1.5,0.18759,0.211035,0.209338333,0.210561667,0.65907,0.615105,0.602621667,0.624038333
tabfairgan,150,2.0,0.189171667,0.168351667,0.20046,0.183265,0.657488333,0.657788333,0.6115,0.651335
tabfairgan,150,5.0,0.20728,0.221626667,0.226175,0.221438333,0.63938,0.604513333,0.585785,0.613161667
tabfairgan,200,0.2,0.143165,0.140313333,0.152175,0.146108333,0.703495,0.685826667,0.659785,0.688491667
tabfairgan,200,0.4,0.130711667,0.139691667,0.140941667,0.1396,0.715948333,0.686448333,0.671018333,0.695
tabfairgan,200,0.6,0.122948333,0.163058333,0.142943333,0.157026667,0.723711667,0.663081667,0.669016667,0.677573333
tabfairgan,200,0.8,0.145946667,0.157761667,0.151813333,0.162411667,0.700713333,0.668378333,0.660146667,0.672188333
tabfairgan,200,1.0,0.139808333,0.145455,0.150546667,0.151231667,0.706851667,0.680685,0.661413333,0.683368333
tabfairgan,200,1.5,0.142771667,0.134548333,0.145018333,0.140131667,0.703888333,0.691591667,0.666941667,0.694468333
tabfairgan,200,2.0,0.129368333,0.13596,0.138321667,0.135746667,0.717291667,0.69018,0.673638333,0.698853333
tabfairgan,200,5.0,0.127431667,0.134705,0.13234,0.133551667,0.719228333,0.691435,0.67962,0.701048333
tabfairgan,250,0.2,0.127778333,0.121625,0.135323333,0.128946667,0.718881667,0.704515,0.676636667,0.705653333
tabfairgan,250,0.4,0.136215,0.121626667,0.137678333,0.129763333,0.710445,0.704513333,0.674281667,0.704836667
tabfairgan,250,0.6,0.127025,0.134243333,0.130713333,0.136176667,0.719635,0.691896667,0.681246667,0.698423333
tabfairgan,250,0.8,0.134871667,0.132685,0.139946667,0.13596,0.711788333,0.693455,0.672013333,0.69864
tabfairgan,250,1.0,0.120796667,0.114296667,0.124096667,0.119313333,0.725863333,0.711843333,0.687863333,0.715286667
tabfairgan,250,1.5,0.121458333,0.101843333,0.11993,0.113726667,0.725201667,0.724296667,0.69203,0.720873333
tabfairgan,250,2.0,0.137025,0.103246667,0.132791667,0.121568333,0.709635,0.722893333,0.679168333,0.713031667
tabfairgan,250,5.0,0.11742,0.109161667,0.11884,0.113645,0.72924,0.716978333,0.69312,0.720955
tabfairgan,300,0.2,0.125765,0.146078333,0.134515,0.141941667,0.720895,0.680061667,0.677445,0.692658333
tabfairgan,300,0.4,0.126265,0.104176667,0.126816667,0.115911667,0.720395,0.721963333,0.685143333,0.718688333
tabfairgan,300,0.6,0.11984,0.125991667,0.12618,0.127303333,0.72682,0.700148333,0.68578,0.707296667
tabfairgan,300,0.8,0.129116667,0.125976667,0.135051667,0.133033333,0.717543333,0.700163333,0.676908333,0.701566667
tabfairgan,300,1.0,0.10646,0.111658333,0.113411667,0.11337,0.7402,0.714481667,0.698548333,0.72123
tabfairgan,300,1.5,0.127055,0.120998333,0.129535,0.126483333,0.719605,0.705141667,0.682425,0.708116667
tabfairgan,300,2.0,0.118978333,0.106825,0.117936667,0.11411,0.727681667,0.719315,0.694023333,0.72049
tabfairgan,300,5.0,0.129466667,0.117261667,0.127535,0.126726667,0.717193333,0.708878333,0.684425,0.707873333
distcorrgan,50,0.2,0.313736667,0.330503333,0.337778333,0.332036667,0.532923333,0.495636667,0.474181667,0.502563333
distcorrgan,50,0.4,0.325245,0.366798333,0.354711667,0.359905,0.521415,0.459341667,0.457248333,0.474695
distcorrgan,50,0.6,0.299323333,0.371315,0.335333333,0.350415,0.547336667,0.454825,0.476626667,0.484185
distcorrgan,50,0.8,0.295728333,0.323645,0.327446667,0.319863333,0.550931667,0.502495,0.484513333,0.514736667
distcorrgan,50,1.0,0.311141667,0.346393333,0.339493333,0.336143333,0.535518333,0.479746667,0.472466667,0.498456667
distcorrgan,50,1.5,0.316068333,0.372091667,0.353175,0.354883333,0.530591667,0.454048333,0.458785,0.479716667
distcorrgan,50,2.0,0.280236667,0.354495,0.324096667,0.342461667,0.566423333,0.471645,0.487863333,0.492138333
distcorrgan,50,5.0,0.299633333,0.361193333,0.335863333,0.342251667,0.547026667,0.464946667,0.476096667,0.492348333
distcorrgan,100,0.2,0.284726667,0.261658333,0.30707,0.27536,0.561933333,0.564481667,0.50489,0.55924
distcorrgan,100,0.4,0.291903333,0.29094,0.317395,0.295828333,0.554756667,0.5352,0.494565,0.538771667
distcorrgan,100,0.6,0.294985,0.345765,0.332521667,0.329135,0.551675,0.480375,0.479438333,0.505465
distcorrgan,100,0.8,0.281183333,0.292026667,0.312411667,0.292493333,0.565476667,0.534113333,0.499548333,0.542106667
distcorrgan,100,1.0,0.307523333,0.367108333,0.342666667,0.347935,0.539136667,0.459031667,0.469293333,0.486665
distcorrgan,100,1.5,0.318888333,0.33782,0.340673333,0.339955,0.527771667,0.48832,0.471286667,0.494645
distcorrgan,100,2.0,0.292273333,0.334246667,0.321198333,0.327435,0.554386667,0.491893333,0.490761667,0.507165
distcorrgan,100,5.0,0.315716667,0.351216667,0.345111667,0.344801667,0.530943333,0.474923333,0.466848333,0.489798333
distcorrgan,150,0.2,0.294505,0.304643333,0.328988333,0.308135,0.552155,0.521496667,0.482971667,0.526465
distcorrgan,150,0.4,0.296975,0.299203333,0.325003333,0.301473333,0.549685,0.526936667,0.486956667,0.533126667
distcorrgan,150,0.6,0.291106667,0.316955,0.323553333,0.308711667,0.555553333,0.509185,0.488406667,0.525888333
distcorrgan,150,0.8,0.296478333,0.308853333,0.32446,0.307425,0.550181667,0.517286667,0.4875,0.527175
distcorrgan,150,1.0,0.283295,0.303556667,0.313408333,0.300528333,0.563365,0.522583333,0.498551667,0.534071667
distcorrgan,150,1.5,0.29336,0.37988,0.336595,0.354398333,0.5533,0.44626,0.475365,0.480201667
distcorrgan,150,2.0,0.288201667,0.334555,0.326543333,0.31949,0.558458333,0.491585,0.485416667,0.51511
distcorrgan,150,5.0,0.304226667,0.370068333,0.33968,0.349368333,0.542433333,0.456071667,0.47228,0.485231667
distcorrgan,200,0.2,0.270848333,0.22318,0.291125,0.251773333,0.575811667,0.60296,0.520835,0.582826667
distcorrgan,200,0.4,0.290778333,0.269916667,0.316315,0.283673333,0.555881667,0.556223333,0.495645,0.550926667
distcorrgan,200,0.6,0.281481667,0.292033333,0.309696667,0.290708333,0.565178333,0.534106667,0.502263333,0.543891667
distcorrgan,200,0.8,0.261133333,0.263058333,0.29058,0.270496667,0.585526667,0.563081667,0.52138,0.564103333
distcorrgan,200,1.0,0.282166667,0.302156667,0.314131667,0.300176667,0.564493333,0.523983333,0.497828333,0.534423333
distcorrgan,200,1.5,0.288001667,0.280195,0.310878333,0.290751667,0.558658333,0.545945,0.501081667,0.543848333
distcorrgan,200,2.0,0.284438333,0.312903333,0.315945,0.309501667,0.562221667,0.513236667,0.496015,0.525098333
distcorrgan,200,5.0,0.294918333,0.339383333,0.327626667,0.326086667,0.551741667,0.486756667,0.484333333,0.508513333
distcorrgan,250,0.2,0.264603333,0.215243333,0.280073333,0.244471667,0.582056667,0.610896667,0.531886667,0.590128333
distcorrgan,250,0.4,0.262403333,0.239691667,0.284876667,0.254628333,0.584256667,0.586448333,0.527083333,0.579971667
distcorrgan,250,0.6,0.273125,0.268666667,0.299636667,0.274598333,0.573535,0.557473333,0.512323333,0.560001667
distcorrgan,250,0.8,0.256535,0.262123333,0.284968333,0.26403,0.590125,0.564016667,0.526991667,0.57057
distcorrgan,250,1.0,0.271698333,0.306513333,0.305348333,0.29575,0.574961667,0.519626667,0.506611667,0.53885
distcorrgan,250,1.5,0.278586667,0.295303333,0.308975,0.294683333,0.568073333,0.530836667,0.502985,0.539916667
distcorrgan,250,2.0,0.299915,0.330656667,0.331706667,0.32316,0.546745,0.495483333,0.480253333,0.51144
distcorrgan,250,5.0,0.292321667,0.347323333,0.329078333,0.332615,0.554338333,0.478816667,0.482881667,0.501985
distcorrgan,300,0.2,0.259358333,0.169758333,0.269025,0.221623333,0.587301667,0.656381667,0.542935,0.612976667
distcorrgan,300,0.4,0.259353333,0.25527,0.285961667,0.262468333,0.587306667,0.57087,0.525998333,0.572131667
distcorrgan,300,0.6,0.26203,0.222868333,0.281796667,0.248678333,0.58463,0.603271667,0.530163333,0.585921667
distcorrgan,300,0.8,0.261703333,0.282373333,0.292115,0.281311667,0.584956667,0.543766667,0.519845,0.553288333
distcorrgan,300,1.0,0.266225,0.310095,0.303353333,0.292931667,0.580435,0.516045,0.508606667,0.541668333
distcorrgan,300,1.5,0.27649,0.292338333,0.308423333,0.289691667,0.57017,0.533801667,0.503536667,0.544908333
distcorrgan,300,2.0,0.299095,0.36944,0.336503333,0.349423333,0.547565,0.4567,0.475456667,0.485176667
distcorrgan,300,5.0,0.302208333,0.307608333,0.328803333,0.310883333,0.544451667,0.518531667,0.483156667,0.523716667
multifairgan,50,0.2,0.317181667,0.252628333,0.327896667,0.297158333,0.529478333,0.573511667,0.484063333,0.537441667
multifairgan,50,0.4,0.279183333,0.317886667,0.32065,0.328743333,0.567476667,0.508253333,0.49131,0.505856667
multifairgan,50,0.6,0.258273333,0.381908333,0.328261667,0.381573333,0.588386667,0.444231667,0.483698333,0.453026667
multifairgan,50,0.8,0.312996667,0.354025,0.34121,0.372833333,0.533663333,0.472115,0.47075,0.461766667
multifairgan,50,1.0,0.301781667,0.446553333,0.333696667,0.420335,0.544878333,0.379586667,0.478263333,0.414265
multifairgan,50,1.5,0.282913333,0.308538333,0.322558333,0.33021,0.563746667,0.517601667,0.489401667,0.50439
multifairgan,50,2.0,0.267576667,0.376448333,0.324998333,0.360261667,0.579083333,0.449691667,0.486961667,0.474338333
multifairgan,50,5.0,0.292075,0.402148333,0.335058333,0.389916667,0.554585,0.423991667,0.476901667,0.444683333
multifairgan,100,0.2,0.276106667,0.271628333,0.31051,0.31112,0.570553333,0.554511667,0.50145,0.52348
multifairgan,100,0.4,0.315176667,0.268821667,0.334785,0.311495,0.531483333,0.557318333,0.477175,0.523105
multifairgan,100,0.6,0.290983333,0.401375,0.338411667,0.390531667,0.555676667,0.424765,0.473548333,0.444068333
multifairgan,100,0.8,0.269636667,0.329721667,0.319113333,0.327366667,0.577023333,0.496418333,0.492846667,0.507233333
multifairgan,100,1.0,0.283155,0.302001667,0.319118333,0.326518333,0.563505,0.524138333,0.492841667,0.508081667
multifairgan,100,1.5,0.229946667,0.327701667,0.304258333,0.327176667,0.616713333,0.498438333,0.507701667,0.507423333
multifairgan,100,2.0,0.28296,0.320066667,0.323643333,0.347991667,0.5637,0.506073333,0.488316667,0.486608333
multifairgan,100,5.0,0.283945,0.236578333,0.304258333,0.282993333,0.562715,0.589561667,0.507701667,0.551606667
multifairgan,150,0.2,0.279406667,0.217416667,0.303626667,0.281451667,0.567253333,0.608723333,0.508333333,0.553148333
multifairgan,150,0.4,0.28604,0.265076667,0.312041667,0.298951667,0.56062,0.561063333,0.499918333,0.535648333
multifairgan,150,0.6,0.28666,0.257455,0.30951,0.29709,0.56,0.568685,0.50245,0.53751
multifairgan,150,0.8,0.294335,0.401376667,0.33723,0.402648333,0.552325,0.424763333,0.47473,0.431951667
multifairgan,150,1.0,0.266983333,0.445923333,0.332616667,0.42984,0.579676667,0.380216667,0.479343333,0.40476
multifairgan,150,1.5,0.28259,0.315708333,0.323735,0.339808333,0.56407,0.510431667,0.488225,0.494791667
multifairgan,150,2.0,0.272206667,0.314153333,0.312951667,0.336491667,0.574453333,0.511986667,0.499008333,0.498108333
multifairgan,150,5.0,0.306838333,0.235331667,0.31033,0.304325,0.539821667,0.590808333,0.50163,0.530275
multifairgan,200,0.2,0.292236667,0.264615,0.330895,0.31821,0.554423333,0.561525,0.481065,0.51639
multifairgan,200,0.4,0.287515,0.327233333,0.3193,0.3305,0.559145,0.498906667,0.49266,0.5041
multifairgan,200,0.6,0.328956667,0.360883333,0.34874,0.36969,0.517703333,0.465256667,0.46322,0.46491
multifairgan,200,0.8,0.309646667,0.284238333,0.333783333,0.330348333,0.537013333,0.541901667,0.478176667,0.504251667
multifairgan,200,1.0,0.283543333,0.371781667,0.31667,0.373195,0.563116667,0.454358333,0.49529,0.461405
multifairgan,200,1.5,0.307678333,0.294053333,0.32727,0.326821667,0.538981667,0.532086667,0.48469,0.507778333
multifairgan,200,2.0,0.292361667,0.42381,0.345021667,0.3993,0.554298333,0.40233,0.466938333,0.4353
multifairgan,200,5.0,0.300295,0.343431667,0.33497,0.346551667,0.546365,0.482708333,0.47699,0.488048333
multifairgan,250,0.2,0.280996667,0.203086667,0.295745,0.268278333,0.565663333,0.623053333,0.516215,0.566321667
multifairgan,250,0.4,0.297423333,0.297478333,0.3183,0.329781667,0.549236667,0.528661667,0.49366,0.504818333
multifairgan,250,0.6,0.346195,0.416175,0.351275,0.42264,0.500465,0.409965,0.460685,0.41196
