Model,Epochs ,Lambda ,AUC Difference,Balanced Accuracy Difference,Balanced Accuracy Ratio,Disparate Impact Ratio,Equal Odds Difference,Equal Odds Ratio,Positive Predictive Parity Difference,Positive Predictive Parity Ratio,Statistical Parity Difference
tabfairgan,50,0.2,-0.00705,-0.00705,0.99159,0.91645,-0.07018,0.91214,-0.05716,0.93201,-0.06615
tabfairgan,50,0.4,-0.00145,-0.00145,1.00499,0.92823,-0.08715,0.92718,-0.07078,0.91479,-0.05603
tabfairgan,50,0.6,-0.03136,-0.03136,0.94774,0.88309,-0.07983,0.9166,-0.11046,0.86857,-0.0961
tabfairgan,50,0.8,0.00567,0.00546,1.01259,0.86213,-0.1133,0.83476,-0.11098,0.86856,-0.1074
tabfairgan,50,1.0,-0.01271,-0.01271,0.98133,0.84662,-0.12651,0.83492,-0.07999,0.90302,-0.1191
tabfairgan,50,1.5,0.00566,0.00566,1.01945,0.95948,-0.03537,0.97552,-0.06978,0.91455,-0.03279
tabfairgan,50,2.0,0.00881,0.00881,1.01855,0.85456,-0.12347,0.83131,-0.09596,0.88525,-0.11398
tabfairgan,50,5.0,-0.00321,-0.00321,0.99464,0.84569,-0.12993,0.82272,-0.10622,0.86996,-0.12339
tabfairgan,100,0.2,-0.00563,-0.00563,0.99607,0.80907,-0.12144,0.87198,-0.10241,0.88801,-0.15796
tabfairgan,100,0.4,0.05136,0.05136,1.07361,0.70744,-0.19936,0.58874,-0.11491,0.87268,-0.24252
tabfairgan,100,0.6,0.05411,0.05411,1.07807,0.73807,-0.216,0.60346,-0.08843,0.90027,-0.21809
tabfairgan,100,0.8,0.01117,0.01117,1.02464,0.70817,-0.20399,0.75647,-0.15163,0.83383,-0.24275
tabfairgan,100,1.0,0.00289,0.00289,1.00638,0.68303,-0.19115,0.66343,-0.12809,0.85903,-0.26353
tabfairgan,100,1.5,-0.0174,-0.0174,0.98019,0.66623,-0.19375,0.68917,-0.20146,0.78061,-0.27191
tabfairgan,100,2.0,0.01157,0.01157,1.01918,0.63805,-0.21205,0.63467,-0.19714,0.77891,-0.29271
tabfairgan,100,5.0,0.01269,0.01269,1.02217,0.63142,-0.22243,0.60282,-0.15476,0.82778,-0.30212
tabfairgan,150,0.2,0.03639,0.03639,1.04903,0.82019,-0.11514,0.71719,-0.03987,0.95684,-0.14542
tabfairgan,150,0.4,0.05256,0.05256,1.07423,0.77368,-0.15963,0.65892,-0.05769,0.93693,-0.18641
tabfairgan,150,0.6,0.06099,0.06099,1.08313,0.69308,-0.20052,0.52922,-0.06912,0.92531,-0.26115
tabfairgan,150,0.8,0.04708,0.04708,1.06412,0.72013,-0.18891,0.57704,-0.0803,0.91327,-0.23185
tabfairgan,150,1.0,0.03659,0.03659,1.04899,0.69943,-0.15327,0.61378,-0.08983,0.90324,-0.24814
tabfairgan,150,1.5,0.04607,0.04607,1.06346,0.67583,-0.20219,0.5332,-0.07774,0.91647,-0.27225
tabfairgan,150,2.0,0.0463,0.0463,1.06345,0.67835,-0.19715,0.56689,-0.09203,0.8998,-0.27101
tabfairgan,150,5.0,0.02313,0.02313,1.03511,0.6658,-0.17783,0.62091,-0.10736,0.88376,-0.27055
tabfairgan,200,0.2,0.03164,0.03164,1.04033,0.8507,-0.11659,0.69,-0.0224,0.97527,-0.12162
tabfairgan,200,0.4,0.02833,0.02833,1.03652,0.7699,-0.1144,0.68195,-0.0526,0.94335,-0.1865
tabfairgan,200,0.6,0.00529,0.00529,1.00923,0.77067,-0.07355,0.84237,-0.0714,0.92402,-0.18898
tabfairgan,200,0.8,0.02691,0.02691,1.03491,0.74558,-0.10989,0.72812,-0.06815,0.92753,-0.21019
tabfairgan,200,1.0,-0.00715,-0.00715,0.99561,0.76263,-0.0888,1.00795,-0.07685,0.91915,-0.19292
tabfairgan,200,1.5,0.02448,0.02448,1.03117,0.72212,-0.1315,0.6433,-0.06392,0.93209,-0.22978
tabfairgan,200,2.0,0.00906,0.00906,1.01245,0.7016,-0.1139,0.72649,-0.09779,0.89595,-0.24635
tabfairgan,200,5.0,0.01627,0.01627,1.02441,0.69845,-0.13356,0.74503,-0.09478,0.89834,-0.24781
tabfairgan,250,0.2,0.05632,0.05632,1.07195,0.83328,-0.11898,0.6634,-0.01862,0.98034,-0.13187
tabfairgan,250,0.4,0.03728,0.03728,1.04712,0.79798,-0.11348,0.66377,-0.03579,0.96172,-0.16669
tabfairgan,250,0.6,0.03417,0.03417,1.04471,0.75254,-0.15372,0.60951,-0.04881,0.94812,-0.20493
tabfairgan,250,0.8,-0.00172,-0.00172,0.99972,0.77259,-0.06617,0.90957,-0.07751,0.9182,-0.18327
tabfairgan,250,1.0,0.03783,0.03783,1.04955,0.73861,-0.14079,0.61262,-0.0474,0.95004,-0.2175
tabfairgan,250,1.5,0.03257,0.03257,1.0427,0.73454,-0.12193,0.68098,-0.06527,0.93002,-0.22038
tabfairgan,250,2.0,0.025,0.025,1.03365,0.71226,-0.11357,0.7057,-0.07297,0.9228,-0.23701
tabfairgan,250,5.0,0.04188,0.04188,1.05349,0.68795,-0.17111,0.52813,-0.05465,0.9413,-0.26256
tabfairgan,300,0.2,0.04468,0.04468,1.05694,0.83007,-0.12428,0.62826,-0.01652,0.98226,-0.13684
tabfairgan,300,0.4,0.05294,0.05294,1.06752,0.79319,-0.12587,0.60787,-0.0338,0.96353,-0.16787
tabfairgan,300,0.6,0.00522,0.00522,1.00828,0.77498,-0.09253,0.77309,-0.05447,0.94234,-0.18329
tabfairgan,300,0.8,0.04951,0.04951,1.06375,0.77617,-0.13591,0.63604,-0.03258,0.96572,-0.18522
tabfairgan,300,1.0,0.0267,0.0267,1.03459,0.75707,-0.12687,0.63918,-0.03687,0.96106,-0.1963
tabfairgan,300,1.5,0.02188,0.02188,1.0277,0.7749,-0.08609,0.73905,-0.05713,0.93932,-0.18575
tabfairgan,300,2.0,0.01462,0.01462,1.02002,0.77208,-0.09038,0.7834,-0.06172,0.93493,-0.18748
tabfairgan,300,5.0,0.03737,0.03737,1.04648,0.71956,-0.12702,0.58446,-0.05747,0.93853,-0.22983
distcorrgan,50,0.2,-0.00501,-0.00501,1.00149,1.023,0.05763,1.10811,0.01576,1.02894,0.01628
distcorrgan,50,0.4,0.0244,0.0244,1.05488,1.01314,0.00012,1.01616,0.03248,1.05925,0.00465
distcorrgan,50,0.6,-0.00139,-0.00139,1.00215,1.00472,0.00292,1.01302,0.01115,1.03007,0.00186
distcorrgan,50,0.8,-0.00972,-0.00972,0.98416,0.99936,0.00962,1.03804,-0.01438,0.98058,-0.0026
distcorrgan,50,1.0,0.0237,0.0237,1.04855,1.01172,0.00806,1.02168,0.03004,1.06392,0.00507
