Model,Epochs,Lambda,Proportion positive numerical tests,Proportion positive categorical tests,Proportion distances below threshold,Proportion positive numerical correlations,Proportion positive categorical correlations,Average DLA,Proportion positive numerical tests 2,Proportion positive categorical tests 2,Proportion distances below threshold 2,Proportion positive numerical correlations 2,Proportion positive categorical correlations 2 ,Average DLA 2,Proportion positive numerical tests 3,Proportion positive categorical tests 3,Proportion distances below threshold 3,Proportion positive numerical correlations 3,Proportion positive categorical correlations 3,Average DLA 3,URA Score,MRA Score,DLA Score,Overall Score
tabfairgan,50,0.2,0.308333333,0.033333333,0.845833333,0.626,0.543,0.7933935,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
tabfairgan,50,0.4,0.275,0.033333333,0.858333333,0.602,0.489,0.7932175,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
tabfairgan,50,0.6,0.25,0.077777778,0.841666667,0.597,0.474,0.793478,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,50,0.8,0.304166667,0.111111111,0.85,0.61,0.586,0.7852705,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
tabfairgan,50,1.0,0.2625,0.022222222,0.841666667,0.583,0.566,0.7969115,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,50,1.5,0.279166667,0.066666667,0.845833333,0.605,0.512,0.792364,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
tabfairgan,50,2.0,0.233333333,0.055555556,0.845833333,0.562,0.536,0.7956215,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
tabfairgan,50,5.0,0.241666667,0.055555556,0.833333333,0.611,0.548,0.7959595,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
tabfairgan,100,0.2,0.379166667,0.044444444,0.8625,0.742,0.795,0.7731025,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,0.4,0.35,0.066666667,0.85,0.639,0.745,0.7806,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,0.6,0.3125,0.044444444,0.866666667,0.686,0.751,0.7717995,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,0.8,0.395833333,0.044444444,0.870833333,0.69,0.748,0.7694825,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,1.0,0.308333333,0.022222222,0.866666667,0.696,0.735,0.773705,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,1.5,0.329166667,0.022222222,0.870833333,0.729,0.749,0.772597,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,2.0,0.283333333,0.055555556,0.866666667,0.684,0.701,0.7739775,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,100,5.0,0.3125,0.044444444,0.866666667,0.707,0.741,0.7664785,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,0.2,0.35,0.077777778,0.870833333,0.801,0.8,0.7628795,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,0.4,0.4,0.022222222,0.858333333,0.775,0.759,0.7713545,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,0.6,0.358333333,0.077777778,0.866666667,0.801,0.747,0.762016,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,0.8,0.429166667,0.055555556,0.870833333,0.77,0.795,0.7640245,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,1.0,0.329166667,0.022222222,0.8625,0.779,0.728,0.765963,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,1.5,0.333333333,0.088888889,0.866666667,0.805,0.737,0.7675605,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,2.0,0.370833333,0.033333333,0.870833333,0.732,0.741,0.7672045,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,150,5.0,0.35,0.066666667,0.866666667,0.757,0.745,0.7704105,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,0.2,0.395833333,0.022222222,0.866666667,0.774,0.832,0.773114,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,0.4,0.383333333,0.055555556,0.870833333,0.847,0.848,0.759039,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,0.6,0.358333333,0.111111111,0.866666667,0.782,0.793,0.760641,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,0.8,0.3125,0.111111111,0.875,0.824,0.783,0.768779,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,1.0,0.358333333,0.144444444,0.870833333,0.825,0.793,0.7629325,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,1.5,0.425,0.033333333,0.866666667,0.821,0.787,0.7622175,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,2.0,0.404166667,0.077777778,0.875,0.822,0.756,0.7639505,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,200,5.0,0.345833333,0.055555556,0.85,0.815,0.769,0.7664425,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,0.2,0.4,0.044444444,0.858333333,0.837,0.878,0.7616395,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,0.4,0.4125,0.1,0.858333333,0.874,0.839,0.7653685,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,0.6,0.375,0.066666667,0.875,0.898,0.824,0.763143,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,0.8,0.366666667,0.044444444,0.8625,0.836,0.819,0.7643245,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,1.0,0.358333333,0.077777778,0.866666667,0.849,0.806,0.7599705,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,1.5,0.404166667,0.055555556,0.875,0.821,0.81,0.769471,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,2.0,0.433333333,0.011111111,0.858333333,0.863,0.785,0.761502,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,250,5.0,0.370833333,0.055555556,0.870833333,0.836,0.805,0.7586405,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,0.2,0.375,0.077777778,0.866666667,0.857,0.879,0.7690425,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,0.4,0.383333333,0.066666667,0.8625,0.854,0.83,0.7666345,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,0.6,0.366666667,0.022222222,0.870833333,0.903,0.807,0.7703205,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,0.8,0.3625,0.011111111,0.870833333,0.858,0.842,0.763023,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,1.0,0.4625,0.088888889,0.870833333,0.872,0.84,0.7592685,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,1.5,0.4,0.022222222,0.870833333,0.887,0.82,0.7621175,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,2.0,0.4,0.022222222,0.870833333,0.878,0.812,0.761259,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
tabfairgan,300,5.0,0.425,0.088888889,0.866666667,0.829,0.784,0.7646765,Good,Good,Excellent,Excellent,Excellent,Good,2,2,3,3,3,2,2.31,3.0,2,2.524
distcorrgan,50,0.2,0.220833333,0.022222222,0.875,0.54,0.478,0.8086535,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,0.4,0.333333333,0.044444444,0.875,0.511,0.448,0.8157475,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,0.6,0.304166667,0.055555556,0.879166667,0.529,0.527,0.824166,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,0.8,0.291666667,0.066666667,0.8875,0.424,0.499,0.825335,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,1.0,0.241666667,0.044444444,0.895833333,0.446,0.495,0.829432,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,1.5,0.225,0.055555556,0.895833333,0.424,0.383,0.8379465,Good,Good,Excellent,Good,Poor,Poor,2,2,3,2,1,1,2.31,1.5,1,1.724
distcorrgan,50,2.0,0.245833333,0.066666667,0.9,0.432,0.442,0.8441005,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,50,5.0,0.275,0.066666667,0.8875,0.426,0.439,0.8330745,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,100,0.2,0.270833333,0.088888889,0.879166667,0.617,0.469,0.797396,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,100,0.4,0.320833333,0.044444444,0.879166667,0.626,0.547,0.7992135,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,100,0.6,0.325,0.033333333,0.870833333,0.586,0.438,0.798409,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
distcorrgan,100,0.8,0.333333333,0.022222222,0.875,0.547,0.5,0.8031845,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,100,1.0,0.295833333,0.055555556,0.875,0.637,0.443,0.799464,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,100,1.5,0.345833333,0.033333333,0.875,0.567,0.538,0.8000225,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,100,2.0,0.320833333,0.1,0.875,0.535,0.529,0.7985815,Good,Good,Excellent,Good,Good,Good,2,2,3,2,2,2,2.31,2.0,2,2.124
distcorrgan,100,5.0,0.395833333,0.077777778,0.883333333,0.538,0.536,0.80634,Good,Good,Excellent,Good,Good,Poor,2,2,3,2,2,1,2.31,2.0,1,1.924
distcorrgan,150,0.2,0.3,0.066666667,0.875,0.685,0.495,0.7912425,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,0.4,0.2875,0.044444444,0.875,0.63,0.559,0.790612,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,0.6,0.333333333,0.077777778,0.870833333,0.653,0.457,0.798606,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,0.8,0.279166667,0.044444444,0.870833333,0.707,0.516,0.7926305,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,1.0,0.354166667,0.055555556,0.879166667,0.717,0.542,0.7942415,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,1.5,0.304166667,0.044444444,0.866666667,0.736,0.576,0.7915585,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,2.0,0.366666667,0.033333333,0.875,0.694,0.508,0.791822,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,150,5.0,0.404166667,0.066666667,0.875,0.667,0.499,0.790703,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,0.2,0.3,0.022222222,0.875,0.732,0.537,0.7837635,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,0.4,0.3,0.066666667,0.875,0.771,0.483,0.790824,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,0.6,0.3125,0.066666667,0.879166667,0.745,0.522,0.7927075,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,0.8,0.345833333,0.0,0.870833333,0.796,0.524,0.787261,Good,Poor,Excellent,Excellent,Good,Good,2,1,3,3,2,2,1.98,2.5,2,2.192
distcorrgan,200,1.0,0.3,0.044444444,0.875,0.729,0.553,0.7873125,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,1.5,0.270833333,0.066666667,0.858333333,0.726,0.563,0.791637,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,2.0,0.35,0.077777778,0.875,0.75,0.516,0.7912445,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
distcorrgan,200,5.0,0.3125,0.077777778,0.8625,0.764,0.532,0.792485,Good,Good,Excellent,Excellent,Good,Good,2,2,3,3,2,2,2.31,2.5,2,2.324
